157.55.39.64 bot - "2015-12-22 19:27:56" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/19 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.64 bot - "2015-12-22 19:27:56" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/20 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.64 bot - "2015-12-22 19:27:57" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/3 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.43 bot - "2015-12-22 20:24:53" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.43 bot - "2015-12-22 20:24:53" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/21 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.64 bot - "2015-12-22 20:54:07" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.65.56 bot - "2015-12-22 21:06:19" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/8/5 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
68.180.230.120 bot - "2015-12-22 21:26:17" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/146 200 "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
188.165.15.85 bot - "2015-12-22 21:29:44" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/view/19 200 "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
157.55.39.133 bot - "2015-12-22 21:43:18" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/146 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.103 bot - "2015-12-22 22:14:48" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/38 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.73.204 bot - "2015-12-22 22:15:40" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/issue/view/RIES%20n%C2%BA%201 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.108 bot - "2015-12-22 22:43:26" http://projuriscursos.com.br/revista/index.php/revista-projuris/issue/view/RIES%20n%C2%BA%201 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.56 bot - "2015-12-22 22:57:43" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/RIES%20n%C2%BA%201 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
207.46.13.178 bot - "2015-12-22 23:06:03" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/39 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.178 bot - "2015-12-22 23:06:07" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/35 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.178 bot - "2015-12-22 23:06:07" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/34 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.178 bot - "2015-12-22 23:06:08" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/151 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.178 bot - "2015-12-22 23:06:08" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/146 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.178 bot - "2015-12-22 23:06:08" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/11 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.178 bot - "2015-12-22 23:06:09" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/10 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.64 bot - "2015-12-22 23:11:44" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/9 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.64 bot - "2015-12-22 23:11:44" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/28 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.64 bot - "2015-12-22 23:11:45" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/56 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.64 bot - "2015-12-22 23:11:46" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/30 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.64 bot - "2015-12-22 23:11:47" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.64 bot - "2015-12-22 23:11:48" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/59 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.64 bot - "2015-12-22 23:11:49" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/20 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
