66.249.73.145 bot - "2015-10-02 05:55:33" http://revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.179 bot - "2015-10-02 05:55:55" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.187 bot - "2015-10-02 05:57:40" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/15 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.209 bot - "2015-10-02 05:59:16" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/28 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.209 bot - "2015-10-02 06:00:53" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/50 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.224 bot - "2015-10-02 06:03:01" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/56 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.231 bot - "2015-10-02 06:03:22" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/146 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.209 bot - "2015-10-02 06:07:27" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/20 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.171 bot - "2015-10-02 07:38:44" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/download/RIES%20v.2n.1/2 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
191.37.63.94 - - "2015-10-02 08:38:02" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Linux; U; Android 4.4.2; pt-br; GT-N5100 Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30"
191.37.63.94 - - "2015-10-02 08:39:51" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/35 200 "Mozilla/5.0 (Linux; U; Android 4.4.2; pt-br; GT-N5100 Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30"
191.37.63.94 - - "2015-10-02 08:40:53" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/35/32 200 "AndroidDownloadManager/4.4.2 (Linux; U; Android 4.4.2; GT-N5100 Build/KOT49H)"
177.1.178.43 - - "2015-10-02 08:43:06" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/1 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
199.47.81.11 - - "2015-10-02 08:55:27" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/8/5 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2"
66.249.73.187 bot - "2015-10-02 09:09:54" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/145 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
191.247.228.141 - - "2015-10-02 09:10:41" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
66.249.73.179 bot - "2015-10-02 09:23:49" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/149 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F70 Safari/600.1.4 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
199.47.81.11 - - "2015-10-02 09:38:38" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/28/22 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.172 Safari/537.22"
201.3.53.245 - - "2015-10-02 10:47:52" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/28/22 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
201.3.112.77 - - "2015-10-02 10:54:52" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0"
201.3.112.77 - - "2015-10-02 10:55:07" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/56/24 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0"
10.20.0.171 - - "2015-10-02 11:21:47" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/5/9 200 "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0"
10.20.0.171 - - "2015-10-02 11:21:49" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/5/9 200 "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0"
201.3.112.77 - - "2015-10-02 11:22:50" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0"
201.3.112.77 - - "2015-10-02 11:23:00" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/56/24 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0"
201.3.112.77 - - "2015-10-02 11:23:49" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0"
201.3.112.77 - - "2015-10-02 11:23:56" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/issue/view/v3%20n1%20%28jan-jun%29%202015 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0"
10.20.0.171 - - "2015-10-02 11:37:47" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/5/9 200 "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0"
177.43.11.146 - - "2015-10-02 11:56:48" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/38 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36"
177.43.11.146 - - "2015-10-02 11:57:14" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/38/20 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36"
177.43.11.146 - - "2015-10-02 12:00:41" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/38 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36"
179.209.72.184 - - "2015-10-02 12:21:05" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/31/18 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36"
179.209.72.184 - - "2015-10-02 12:21:56" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/31/18 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36"
187.10.60.1 - - "2015-10-02 12:40:13" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0"
187.10.60.1 - - "2015-10-02 12:40:19" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0"
187.10.60.1 - - "2015-10-02 12:40:54" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0"
66.249.73.179 bot - "2015-10-02 13:47:08" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/5/9 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
200.203.79.21 - - "2015-10-02 14:22:34" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/28 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Dragon/43.3.3.185 Chrome/43.0.2357.81 Safari/537.36"
200.203.79.21 - - "2015-10-02 14:22:47" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/download/28/22 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Dragon/43.3.3.185 Chrome/43.0.2357.81 Safari/537.36"
177.19.164.231 - - "2015-10-02 14:25:03" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/8/5 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
179.208.166.207 - - "2015-10-02 14:32:24" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/5/9 200 "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0"
66.249.65.209 bot - "2015-10-02 14:37:14" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/download/151/30 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.153 bot - "2015-10-02 14:37:14" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/35/32 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.171 bot - "2015-10-02 14:37:15" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/59/33 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.209 bot - "2015-10-02 14:37:15" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/download/56/24 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.187 bot - "2015-10-02 14:37:16" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/149/23 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.137 bot - "2015-10-02 14:37:16" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/15/34 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.224 bot - "2015-10-02 14:37:17" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/35/32 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.187 bot - "2015-10-02 14:37:18" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/151/30 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.179 bot - "2015-10-02 14:37:18" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.238 bot - "2015-10-02 14:37:19" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/50/28 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.179 bot - "2015-10-02 14:37:19" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/10/26 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.195 bot - "2015-10-02 14:37:20" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/download/15/34 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.171 bot - "2015-10-02 14:37:20" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/20/25 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.238 bot - "2015-10-02 14:37:21" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/10/26 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.145 bot - "2015-10-02 14:37:21" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/35/32 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.145 bot - "2015-10-02 14:37:25" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/50/28 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.231 bot - "2015-10-02 14:37:46" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/145/27 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.187 bot - "2015-10-02 14:38:23" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/35/32 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.145 bot - "2015-10-02 14:40:15" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/59/33 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.202 bot - "2015-10-02 14:41:44" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/56 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.137 bot - "2015-10-02 14:43:06" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/151/30 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.171 bot - "2015-10-02 14:44:29" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/56 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.202 bot - "2015-10-02 14:45:12" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/download/50/28 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.179 bot - "2015-10-02 14:47:00" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/146/31 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.231 bot - "2015-10-02 14:47:16" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/view/145 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.137 bot - "2015-10-02 14:48:17" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/56/24 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.202 bot - "2015-10-02 14:50:10" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/download/145/27 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
200.203.79.21 - - "2015-10-02 14:55:51" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/28 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Dragon/43.3.3.185 Chrome/43.0.2357.81 Safari/537.36"
66.249.65.231 bot - "2015-10-02 14:57:17" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/15/34 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.238 bot - "2015-10-02 15:03:17" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/59/33 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.153 bot - "2015-10-02 15:03:25" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/146/31 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.187 bot - "2015-10-02 15:05:42" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/download/145/27 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.231 bot - "2015-10-02 15:06:35" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/20/25 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.224 bot - "2015-10-02 15:06:38" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/151/30 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.202 bot - "2015-10-02 15:08:44" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/download/151/30 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.231 bot - "2015-10-02 15:14:15" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/50/28 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.202 bot - "2015-10-02 15:15:53" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/download/59/33 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.171 bot - "2015-10-02 15:18:46" http://www.revista.projuriscursos.com.br/index.php/revista-projuris/article/view/145 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.145 bot - "2015-10-02 15:21:46" http://revista.projuriscursos.com.br/index.php/revista-projuris/article/download/10/26 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.195 bot - "2015-10-02 15:22:01" http://www.projuriscursos.com.br/revista/index.php/revista-projuris/article/view/149 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.231 bot - "2015-10-02 15:22:40" http://projuriscursos.com.br/revista/index.php/revista-projuris/article/download/56/24 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
